,pdq,Spdq,aic
614,"(2, 0, 4)","(1, 1, 0, 12)",16.0
1617,"(5, 3, 4)","(0, 1, 1, 12)",22.0
1006,"(3, 2, 5)","(1, 1, 1, 12)",22.0
267,"(0, 5, 3)","(0, 1, 1, 12)",1921.572462825103
215,"(0, 4, 2)","(1, 1, 1, 12)",1922.9947166494142
1668,"(5, 4, 4)","(1, 1, 0, 12)",1923.8715432821637
1665,"(5, 4, 4)","(0, 1, 1, 12)",1923.9100816744658
1090,"(3, 4, 4)","(0, 1, 1, 12)",1924.2967439017707
563,"(1, 5, 4)","(0, 1, 1, 12)",1926.297974789309
1669,"(5, 4, 4)","(1, 1, 1, 12)",1926.3996968578358
223,"(0, 4, 3)","(1, 1, 1, 12)",1926.5103354372366
1094,"(3, 4, 4)","(1, 1, 1, 12)",1927.2491208789038
1381,"(4, 4, 4)","(1, 1, 1, 12)",1927.835337608065
275,"(0, 5, 4)","(0, 1, 1, 12)",1927.9954722065058
214,"(0, 4, 2)","(1, 1, 0, 12)",1928.9824052176048
266,"(0, 5, 3)","(0, 1, 0, 12)",1929.4140289268894
274,"(0, 5, 4)","(0, 1, 0, 12)",1930.9336824567772
447,"(1, 3, 1)","(1, 1, 1, 12)",1931.1703717284372
235,"(0, 4, 5)","(0, 1, 1, 12)",1931.9873764801832
1042,"(3, 3, 4)","(0, 1, 1, 12)",1932.3462714211043
282,"(0, 5, 5)","(0, 1, 0, 12)",1932.969804172069
507,"(1, 4, 3)","(0, 1, 1, 12)",1933.053903519174
562,"(1, 5, 4)","(0, 1, 0, 12)",1933.4136369972
1046,"(3, 3, 4)","(1, 1, 1, 12)",1933.5499953580904
1625,"(5, 3, 5)","(0, 1, 1, 12)",1933.8515818428677
1045,"(3, 3, 4)","(1, 1, 0, 12)",1933.962818704596
1609,"(5, 3, 3)","(0, 1, 1, 12)",1934.3634215102072
163,"(0, 3, 2)","(0, 1, 1, 12)",1935.0144737137707
1376,"(4, 4, 4)","(0, 1, 0, 12)",1935.3522913608988
210,"(0, 4, 2)","(0, 1, 0, 12)",1935.588906277982
158,"(0, 3, 1)","(1, 1, 0, 12)",1935.9244906390527
1089,"(3, 4, 4)","(0, 1, 0, 12)",1935.9251925247297
1093,"(3, 4, 4)","(1, 1, 0, 12)",1936.4237298480064
1380,"(4, 4, 4)","(1, 1, 0, 12)",1936.4385404217503
1613,"(5, 3, 3)","(1, 1, 1, 12)",1936.448868148043
498,"(1, 4, 2)","(0, 1, 0, 12)",1936.9196560174082
1664,"(5, 4, 4)","(0, 1, 0, 12)",1937.1821944528992
806,"(2, 4, 4)","(1, 1, 1, 12)",1937.2761411928095
166,"(0, 3, 2)","(1, 1, 0, 12)",1937.3754966812803
1377,"(4, 4, 4)","(0, 1, 1, 12)",1938.1151039787842
1341,"(4, 3, 5)","(1, 1, 1, 12)",1938.1376920695163
802,"(2, 4, 4)","(0, 1, 1, 12)",1938.4150279504895
183,"(0, 3, 4)","(1, 1, 1, 12)",1938.4819745604589
805,"(2, 4, 4)","(1, 1, 0, 12)",1938.4894247242057
471,"(1, 3, 4)","(1, 1, 1, 12)",1938.8350810234895
1629,"(5, 3, 5)","(1, 1, 1, 12)",1939.3040302117188
159,"(0, 3, 1)","(1, 1, 1, 12)",1939.4079534429347
506,"(1, 4, 3)","(0, 1, 0, 12)",1939.5885359503216
758,"(2, 3, 4)","(1, 1, 1, 12)",1939.7817815532703
1054,"(3, 3, 5)","(1, 1, 1, 12)",1939.798268380674
1340,"(4, 3, 5)","(1, 1, 0, 12)",1939.8751067338287
175,"(0, 3, 3)","(1, 1, 1, 12)",1940.1367996507622
167,"(0, 3, 2)","(1, 1, 1, 12)",1940.1883229998932
1038,"(3, 3, 3)","(1, 1, 1, 12)",1940.2727642883933
1713,"(5, 5, 4)","(0, 1, 1, 12)",1940.4849061101497
155,"(0, 3, 1)","(0, 1, 1, 12)",1940.486963623613
179,"(0, 3, 4)","(0, 1, 1, 12)",1940.6814674058116
455,"(1, 3, 2)","(1, 1, 1, 12)",1940.9590321950684
1325,"(4, 3, 3)","(1, 1, 1, 12)",1941.006799699299
467,"(1, 3, 4)","(0, 1, 1, 12)",1941.0541326772013
463,"(1, 3, 3)","(1, 1, 1, 12)",1941.1677933858557
1716,"(5, 5, 4)","(1, 1, 0, 12)",1941.2308681180962
519,"(1, 4, 4)","(1, 1, 1, 12)",1941.52171982462
154,"(0, 3, 1)","(0, 1, 0, 12)",1941.7426174105087
1102,"(3, 4, 5)","(1, 1, 1, 12)",1941.7535137907805
171,"(0, 3, 3)","(0, 1, 1, 12)",1941.7561789781385
443,"(1, 3, 1)","(0, 1, 1, 12)",1941.9215960921795
191,"(0, 3, 5)","(1, 1, 1, 12)",1941.9670322171921
735,"(2, 3, 1)","(1, 1, 1, 12)",1942.0591282664586
451,"(1, 3, 2)","(0, 1, 1, 12)",1942.1520505776357
766,"(2, 3, 5)","(1, 1, 1, 12)",1942.2283921468252
743,"(2, 3, 2)","(1, 1, 1, 12)",1942.2576827580542
515,"(1, 4, 4)","(0, 1, 1, 12)",1942.2780774777839
751,"(2, 3, 3)","(1, 1, 1, 12)",1942.3453342610421
755,"(2, 3, 4)","(0, 1, 1, 12)",1942.5413817132048
459,"(1, 3, 3)","(0, 1, 1, 12)",1942.5785829855856
182,"(0, 3, 4)","(1, 1, 0, 12)",1942.5901687933538
1050,"(3, 3, 5)","(0, 1, 1, 12)",1942.6387795886726
1033,"(3, 3, 3)","(0, 1, 0, 12)",1942.6630683326357
746,"(2, 3, 3)","(0, 1, 0, 12)",1942.6731097965364
547,"(1, 5, 2)","(0, 1, 1, 12)",1942.8778271524075
1337,"(4, 3, 5)","(0, 1, 1, 12)",1942.8935237886699
1628,"(5, 3, 5)","(1, 1, 0, 12)",1942.9509154656353
1030,"(3, 3, 2)","(1, 1, 1, 12)",1942.9966009798513
479,"(1, 3, 5)","(1, 1, 1, 12)",1943.1084324319725
1034,"(3, 3, 3)","(0, 1, 1, 12)",1943.110682093967
798,"(2, 4, 3)","(1, 1, 1, 12)",1943.1138822060097
1621,"(5, 3, 4)","(1, 1, 1, 12)",1943.1437792342003
1389,"(4, 4, 5)","(1, 1, 1, 12)",1943.1822860340558
162,"(0, 3, 2)","(0, 1, 0, 12)",1943.2360677127301
442,"(1, 3, 1)","(0, 1, 0, 12)",1943.3004073327807
514,"(1, 4, 4)","(0, 1, 0, 12)",1943.3349936858829
174,"(0, 3, 3)","(1, 1, 0, 12)",1943.3357209761139
446,"(1, 3, 1)","(1, 1, 0, 12)",1943.3660196554144
731,"(2, 3, 1)","(0, 1, 1, 12)",1943.4171511406907
801,"(2, 4, 4)","(0, 1, 0, 12)",1943.4825835007825
470,"(1, 3, 4)","(1, 1, 0, 12)",1943.5248930485461
1333,"(4, 3, 4)","(1, 1, 1, 12)",1943.554571994378
739,"(2, 3, 2)","(0, 1, 1, 12)",1943.6372969362974
757,"(2, 3, 4)","(1, 1, 0, 12)",1943.6593695436247
1037,"(3, 3, 3)","(1, 1, 0, 12)",1943.7381159594127
1321,"(4, 3, 3)","(0, 1, 1, 12)",1943.809734099344
187,"(0, 3, 5)","(0, 1, 1, 12)",1943.8682499044264
454,"(1, 3, 2)","(1, 1, 0, 12)",1943.9114157409529
1712,"(5, 5, 4)","(0, 1, 0, 12)",1943.9397280929136
1022,"(3, 3, 1)","(1, 1, 1, 12)",1944.054453633813
227,"(0, 4, 4)","(0, 1, 1, 12)",1944.1553204101442
1317,"(4, 3, 2)","(1, 1, 1, 12)",1944.2450207397553
747,"(2, 3, 3)","(0, 1, 1, 12)",1944.2690627857085
1373,"(4, 4, 3)","(1, 1, 1, 12)",1944.3514183676593
794,"(2, 4, 3)","(0, 1, 1, 12)",1944.367692110146
1577,"(5, 2, 5)","(0, 1, 1, 12)",1944.3753777755094
1605,"(5, 3, 2)","(1, 1, 1, 12)",1944.4191511915208
1677,"(5, 4, 5)","(1, 1, 1, 12)",1944.427805589944
1026,"(3, 3, 2)","(0, 1, 1, 12)",1944.5438835248194
103,"(0, 2, 0)","(1, 1, 1, 12)",1944.6013266383652
462,"(1, 3, 3)","(1, 1, 0, 12)",1944.6437682556518
219,"(0, 4, 3)","(0, 1, 1, 12)",1944.6924378163985
518,"(1, 4, 4)","(1, 1, 0, 12)",1944.7320497902533
1324,"(4, 3, 3)","(1, 1, 0, 12)",1944.8163159831458
511,"(1, 4, 3)","(1, 1, 1, 12)",1944.8536428886785
1661,"(5, 4, 3)","(1, 1, 1, 12)",1944.872283713173
1369,"(4, 4, 3)","(0, 1, 1, 12)",1944.8740813684165
734,"(2, 3, 1)","(1, 1, 0, 12)",1944.8874150239865
475,"(1, 3, 5)","(0, 1, 1, 12)",1945.0252390746286
1385,"(4, 4, 5)","(0, 1, 1, 12)",1945.0492686304754
1329,"(4, 3, 4)","(0, 1, 1, 12)",1945.1034829331809
1101,"(3, 4, 5)","(1, 1, 0, 12)",1945.1040989418686
230,"(0, 4, 4)","(1, 1, 0, 12)",1945.2092805950617
1053,"(3, 3, 5)","(1, 1, 0, 12)",1945.2145267100393
395,"(1, 2, 1)","(0, 1, 1, 12)",1945.313888793878
1018,"(3, 3, 1)","(0, 1, 1, 12)",1945.372420188879
1309,"(4, 3, 1)","(1, 1, 1, 12)",1945.3756942333534
797,"(2, 4, 3)","(1, 1, 0, 12)",1945.4488659703463
1320,"(4, 3, 3)","(0, 1, 0, 12)",1945.452890577543
190,"(0, 3, 5)","(1, 1, 0, 12)",1945.4616261105343
742,"(2, 3, 2)","(1, 1, 0, 12)",1945.5104721949078
762,"(2, 3, 5)","(0, 1, 1, 12)",1945.5303515730293
1657,"(5, 4, 3)","(0, 1, 1, 12)",1945.6073781516645
1425,"(4, 5, 4)","(0, 1, 1, 12)",1945.615853339589
754,"(2, 3, 4)","(0, 1, 0, 12)",1945.6399383207718
1097,"(3, 4, 5)","(0, 1, 0, 12)",1945.6838945365703
222,"(0, 4, 3)","(1, 1, 0, 12)",1945.6989320877626
450,"(1, 3, 2)","(0, 1, 0, 12)",1945.7634664203656
1098,"(3, 4, 5)","(0, 1, 1, 12)",1945.7958689448963
399,"(1, 2, 1)","(1, 1, 1, 12)",1945.821119157528
1328,"(4, 3, 4)","(0, 1, 0, 12)",1945.921840619895
1313,"(4, 3, 2)","(0, 1, 1, 12)",1945.9593201071336
231,"(0, 4, 4)","(1, 1, 1, 12)",1945.9630915260243
750,"(2, 3, 3)","(1, 1, 0, 12)",1946.0010827573417
1049,"(3, 3, 5)","(0, 1, 0, 12)",1946.0052335680457
1597,"(5, 3, 1)","(1, 1, 1, 12)",1946.024954041683
1388,"(4, 4, 5)","(1, 1, 0, 12)",1946.0395832527256
111,"(0, 2, 1)","(1, 1, 1, 12)",1946.0728389961994
1673,"(5, 4, 5)","(0, 1, 1, 12)",1946.1503957801217
1601,"(5, 3, 2)","(0, 1, 1, 12)",1946.318527168544
1428,"(4, 5, 4)","(1, 1, 0, 12)",1946.335262511089
1372,"(4, 4, 3)","(1, 1, 0, 12)",1946.4450844990638
550,"(1, 5, 2)","(1, 1, 0, 12)",1946.5603241656834
1029,"(3, 3, 2)","(1, 1, 0, 12)",1946.5926457187506
1384,"(4, 4, 5)","(0, 1, 0, 12)",1946.6878281094907
510,"(1, 4, 3)","(1, 1, 0, 12)",1946.7125726257782
1721,"(5, 5, 5)","(0, 1, 1, 12)",1946.7385558800293
1305,"(4, 3, 1)","(0, 1, 1, 12)",1946.7729658414096
1021,"(3, 3, 1)","(1, 1, 0, 12)",1946.8596258222694
1332,"(4, 3, 4)","(1, 1, 0, 12)",1946.9651035532272
1424,"(4, 5, 4)","(0, 1, 0, 12)",1946.9779341029898
1717,"(5, 5, 4)","(1, 1, 1, 12)",1947.140416216299
170,"(0, 3, 3)","(0, 1, 0, 12)",1947.185615640278
478,"(1, 3, 5)","(1, 1, 0, 12)",1947.2263634860026
765,"(2, 3, 5)","(1, 1, 0, 12)",1947.3984885585905
178,"(0, 3, 4)","(0, 1, 0, 12)",1947.4380098412416
1660,"(5, 4, 3)","(1, 1, 0, 12)",1947.4389777067595
786,"(2, 4, 2)","(0, 1, 1, 12)",1947.5441788153594
1593,"(5, 3, 1)","(0, 1, 1, 12)",1947.6769739182232
687,"(2, 2, 1)","(1, 1, 1, 12)",1947.69089438274
1612,"(5, 3, 3)","(1, 1, 0, 12)",1947.7229169147543
398,"(1, 2, 1)","(1, 1, 0, 12)",1947.759255657067
