date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2013/4/1,129193,131309,118802,140252,0,126433,113289,97682,122093,0,118623,28769,0,111517,113171,0,108808,105437,104250,101817,58061,49943,48154,46811,45204,0,0,0,48211,90424,92556,81472,80404,74362,16310,73823,20217,55572,57000,65507,53691,68605,0,0,66590,50810,50326,67331,52648,65154
2013/4/6,123850,129695,117264,135660,0,123225,107790,96086,119234,0,118879,23380,0,108224,107273,0,104238,105403,101340,99074,53492,44853,45127,43625,45080,0,0,0,46517,87556,85953,79937,78297,70882,13280,71334,19598,53265,55918,60080,48758,63171,0,0,63877,46766,45086,65829,47670,59212
2013/4/11,123694,127188,116738,132775,0,123586,106037,97877,120391,0,112679,22607,0,104163,106885,0,101955,102457,98026,98111,52895,41511,41325,42305,43167,0,0,0,45455,83386,87792,78850,76648,68815,10574,71702,16216,51162,53798,57853,47100,58963,0,0,60630,47609,42200,65161,47739,56078
2013/4/16,126205,131930,121370,137376,0,125142,111337,103182,122820,0,119271,29308,0,109339,109779,0,103870,103276,102323,105533,59713,45894,48268,43846,46436,0,0,0,49880,88073,87819,79977,76452,73365,15012,73202,20411,55431,56336,66335,53087,63407,0,0,63895,53377,48471,66573,50163,64247
2013/4/21,126350,129677,119483,138669,0,125417,105760,103208,118436,0,116188,26409,0,106575,108649,0,103702,100196,101257,100295,55163,42622,44915,43075,43584,0,0,0,48982,87442,88584,80126,78026,74013,13095,72266,22554,54606,58022,60610,47746,63588,0,0,65240,52324,46773,65129,51207,61017
2013/4/26,127400,128557,122301,134948,0,125961,103949,102408,121348,0,117699,27464,0,107617,111198,0,105578,99617,101431,104814,57223,44934,45206,48822,47392,0,0,0,51302,89674,89032,78923,75431,75510,14145,74135,20463,57282,60462,61265,50148,68208,0,0,65763,49542,48324,65886,52032,61151
2013/5/1,128127,126525,124989,137189,0,123999,103460,101276,121898,0,114773,26639,0,110595,103523,0,104954,98921,102099,99247,55520,44699,45822,44069,46595,0,0,0,46183,87960,88411,81622,72511,72578,14972,73089,19606,57240,58987,58226,52594,64803,0,0,63519,51845,47551,63717,50950,61901
2013/5/6,129304,129426,126495,139401,0,124081,105242,104406,124903,0,116832,28882,0,112545,101851,0,102510,97459,102378,104129,57794,44141,44187,43302,48909,0,0,0,52197,92787,85867,80777,79870,73360,22804,78731,21483,59551,62131,64808,54648,65710,0,0,64618,56963,52914,69674,56010,65948
2013/5/11,137888,141378,135709,146276,0,138780,109346,114943,134028,0,127381,39099,0,120306,108830,0,119249,105923,114137,116545,74519,59985,61596,59046,57409,0,0,0,57957,98806,97922,90007,85501,85543,32580,87617,30895,75888,67804,71210,67053,79773,0,0,77637,63217,58055,76211,62523,74312
2013/5/16,134187,140182,135368,141182,0,133245,105613,115915,130867,0,127214,35734,0,113413,93885,0,111797,108289,110306,105877,67306,49074,52772,48741,49701,0,0,0,53433,92419,97686,86917,82483,82522,33019,80714,28469,68009,66162,71669,61055,73068,0,0,71751,59430,53964,74634,64871,68252
