date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,平均気温(℃),平年値からの差(℃),平均湿度(％),平年値からの差(％),日最低気温25℃以上日数(日),平年値からの差(日),日最高気温35℃以上日数(日),平年値からの差(日)
2013/4/13,811546 ,865287 ,850191 ,888837 ,0 ,744563 ,827523 ,822938 ,790108 ,750615 ,750527 ,749804 ,707962 ,620797 ,630711 ,469732 ,589860 ,591950 ,552283 ,552487 ,552283 ,553075 ,512453 ,513024 ,473033 ,471974 ,434097 ,433279 ,394194 ,394960 ,393312 ,355170 ,315522 ,315968 ,276447 ,315355 ,152095 ,276243 ,275318 ,0 ,0 ,0 ,0 ,0 ,195937 ,193225 ,197119 ,195937 ,196747 ,0,13.8,-0.8,58,-1,0,0,0,0
2013/5/13,870302 ,919813 ,876724 ,953188 ,0 ,792887 ,900740 ,859797 ,837098 ,795204 ,795230 ,791724 ,700213 ,668211 ,669508 ,657707 ,627420 ,627664 ,582501 ,585820 ,582501 ,585969 ,543976 ,541706 ,502131 ,466808 ,458366 ,455872 ,418443 ,418500 ,418097 ,376598 ,334776 ,334834 ,292976 ,334754 ,252826 ,291687 ,272305 ,0 ,0 ,0 ,0 ,0 ,208654 ,207214 ,209169 ,208654 ,209026 ,0 ,19.4,0,59,-5,0,0,0,0
2013/6/13,900245 ,949142 ,744529 ,985983 ,0 ,818453 ,940039 ,769984 ,863032 ,819714 ,819922 ,762050 ,577242 ,690285 ,690449 ,688947 ,647257 ,647230 ,547835 ,604082 ,547835 ,604123 ,560990 ,521402 ,517837 ,384828 ,441187 ,425583 ,431530 ,431530 ,431428 ,388338 ,345227 ,345230 ,302075 ,345224 ,291296 ,280755 ,224483 ,0 ,0 ,0 ,0 ,0 ,215382 ,214344 ,215717 ,215382 ,215630 ,215758 ,23.6,0.6,72,1,0,-0.3,1,0.9
2013/7/13,941217 ,988851 ,575764 ,1030857 ,0 ,853554 ,982437 ,606219 ,898833 ,853185 ,854066 ,634717 ,445026 ,719237 ,719249 ,719066 ,674274 ,674285 ,423185 ,629332 ,423185 ,629183 ,584390 ,434280 ,539437 ,296684 ,367467 ,344089 ,449531 ,449531 ,449478 ,404571 ,359626 ,359618 ,314662 ,359624 ,313279 ,233843 ,173065 ,0 ,0 ,0 ,0 ,0 ,224619 ,224099 ,224754 ,224619 ,224724 ,224708 ,28.1,1.2,69,-4,10,1.4,9,3.8
2013/8/13,957467 ,1005036 ,448435 ,1048655 ,0 ,867664 ,1002075 ,462222 ,912697 ,860267 ,867780 ,477390 ,709604 ,730948 ,730935 ,730935 ,685210 ,685263 ,287609 ,639579 ,287609 ,638888 ,593885 ,326635 ,548201 ,473069 ,276383 ,259540 ,456834 ,456819 ,456834 ,411158 ,365470 ,365430 ,319737 ,365467 ,319752 ,175880 ,275957 ,0 ,0 ,0 ,0 ,0 ,228332 ,227968 ,228417 ,228332 ,228400 ,228174 ,29.3,1.1,66,-3,19,4,17,8
2013/9/13,922357 ,970575 ,675380 ,1010201 ,0 ,837317 ,968651 ,708211 ,874480 ,808309 ,837317 ,723331 ,765766 ,705861 ,705789 ,705872 ,661538 ,661722 ,507163 ,617607 ,507163 ,612136 ,573453 ,494910 ,529342 ,510511 ,418770 ,397717 ,441118 ,441058 ,441170 ,397033 ,352906 ,352162 ,307913 ,352894 ,308819 ,266490 ,297798 ,0 ,0 ,0 ,0 ,0 ,220346 ,219608 ,220560 ,220346 ,220509 ,218620 ,24.9,0.4,68,-2,1,-0.8,0,-0.7
2013/10/13,870161 ,920613 ,782244 ,953033 ,0 ,792759 ,916585 ,796127 ,807094 ,780901 ,788031 ,766739 ,749933 ,669491 ,668103 ,669559 ,624830 ,627563 ,558090 ,585725 ,558090 ,564965 ,542833 ,524611 ,501077 ,499955 ,443901 ,433554 ,417564 ,418029 ,418460 ,376537 ,334228 ,328800 ,285956 ,334051 ,292922 ,282482 ,291640 ,0 ,0 ,0 ,0 ,0 ,208620 ,207181 ,209136 ,208620 ,208993 ,201773 ,20.2,1.6,69,1,0,0,0,0
2013/11/13,800010 ,856561 ,815759 ,876202 ,0 ,733979 ,848345 ,800010 ,764966 ,736670 ,713538 ,736670 ,700918 ,621746 ,611973 ,623038 ,565452 ,583536 ,541996 ,544633 ,541996 ,535476 ,497228 ,504037 ,458980 ,467278 ,426493 ,424172 ,382483 ,385975 ,389346 ,350121 ,307309 ,231527 ,183310 ,305986 ,272542 ,271405 ,272579 ,0 ,0 ,0 ,0 ,0 ,193152 ,190478 ,194317 ,193152 ,193950 ,191241 ,11.5,-1.1,67,1,0,0,0,0
2013/12/13,708595 ,797850 ,793439 ,776081 ,0 ,665180 ,781306 ,761042 ,722889 ,689052 ,677467 ,689716 ,653492 ,570498 ,431673 ,579609 ,351216 ,539725 ,508189 ,503744 ,508189 ,506022 ,350734 ,471911 ,323755 ,435661 ,399309 ,399166 ,269795 ,350095 ,362659 ,323835 ,231704 ,159739 ,170887 ,215836 ,253861 ,254106 ,254136 ,0 ,0 ,0 ,0 ,0 ,175047 ,168713 ,178442 ,175047 ,177200 ,180722 ,6.4,-0.8,65,-1,0,0,0,0
2014/1/13,635283 ,776320 ,781746 ,695786 ,0 ,612837 ,728012 ,747405 ,711320 ,676313 ,673491 ,676485 ,640849 ,423342 ,313312 ,559488 ,230520 ,515007 ,498460 ,480674 ,498460 ,497924 ,254566 ,462858 ,317506 ,427232 ,391649 ,391624 ,195820 ,349680 ,352873 ,309004 ,180713 ,211671 ,167589 ,156656 ,248128 ,249231 ,249219 ,0 ,0 ,0 ,0 ,0 ,161273 ,151257 ,166067 ,161273 ,164317 ,177830 ,4.6,-0.2,59,-5,0,0,0,0
