pdq,Spdq,aic
"(0, 2, 0)","(2, 2, 2, 36)",10.0
"(2, 2, 2)","(2, 2, 1, 36)",16.0
"(2, 1, 2)","(2, 0, 2, 36)",154.21327964702198
"(0, 1, 0)","(2, 2, 0, 36)",1106.767598256211
"(0, 1, 0)","(1, 2, 1, 36)",1110.545792087538
"(1, 2, 0)","(2, 2, 1, 36)",1117.350597361275
"(0, 1, 1)","(2, 2, 0, 36)",1120.5917769119746
"(1, 2, 1)","(2, 2, 0, 36)",1135.2476527060267
"(2, 1, 1)","(2, 2, 0, 36)",1137.9142499680252
"(0, 2, 2)","(2, 2, 0, 36)",1141.286422876466
"(0, 2, 0)","(1, 2, 1, 36)",1142.3379137280494
"(0, 2, 2)","(1, 2, 1, 36)",1142.7637488440766
"(1, 2, 2)","(2, 2, 0, 36)",1143.1390458713072
"(0, 2, 2)","(2, 2, 1, 36)",1143.19833447625
"(2, 2, 2)","(2, 2, 0, 36)",1143.258286195042
"(0, 1, 0)","(1, 2, 0, 36)",1143.588970216995
"(0, 2, 2)","(1, 2, 2, 36)",1143.693083214993
"(2, 2, 2)","(1, 2, 1, 36)",1144.3921681144282
"(1, 2, 2)","(1, 2, 1, 36)",1144.5038383707517
"(1, 2, 2)","(1, 2, 2, 36)",1144.7176614459374
"(1, 2, 2)","(2, 2, 1, 36)",1144.8943397357978
"(0, 2, 2)","(2, 2, 2, 36)",1145.197629017861
"(2, 2, 2)","(1, 2, 2, 36)",1145.7506844779439
"(0, 2, 2)","(1, 2, 0, 36)",1145.7934342608226
"(1, 2, 2)","(2, 2, 2, 36)",1146.8920166215396
"(0, 2, 1)","(1, 2, 0, 36)",1146.9673455157463
"(2, 2, 2)","(2, 2, 2, 36)",1147.181540193639
"(1, 2, 2)","(1, 2, 0, 36)",1147.5759208314405
"(0, 2, 1)","(2, 2, 0, 36)",1147.7674315605127
"(2, 2, 2)","(1, 2, 0, 36)",1148.207363537878
"(0, 2, 2)","(0, 2, 2, 36)",1148.973748841544
"(0, 2, 1)","(1, 2, 1, 36)",1149.1983617854164
"(0, 2, 1)","(2, 2, 1, 36)",1149.7059881238504
"(1, 2, 1)","(1, 2, 1, 36)",1150.1119884545926
"(0, 2, 1)","(1, 2, 2, 36)",1150.2503839276314
"(2, 2, 2)","(0, 2, 2, 36)",1150.385955091326
"(2, 2, 1)","(2, 2, 0, 36)",1150.6463227784955
"(1, 2, 1)","(2, 2, 1, 36)",1150.7192081664705
"(1, 1, 0)","(1, 2, 1, 36)",1150.7273913068086
"(1, 2, 2)","(0, 2, 2, 36)",1150.7799316475212
"(2, 2, 0)","(2, 2, 0, 36)",1151.0729475370326
"(1, 2, 1)","(1, 2, 2, 36)",1151.2087196567643
"(0, 2, 1)","(2, 2, 2, 36)",1151.7056856550105
"(0, 2, 0)","(2, 2, 0, 36)",1151.731469634107
"(2, 2, 1)","(1, 2, 1, 36)",1152.0040577998154
"(1, 2, 1)","(1, 2, 0, 36)",1152.25639016525
"(2, 2, 1)","(2, 2, 1, 36)",1152.58968821675
"(1, 2, 1)","(2, 2, 2, 36)",1152.7188711636582
"(2, 2, 0)","(2, 2, 1, 36)",1153.0619431432226
"(2, 2, 1)","(1, 2, 2, 36)",1153.088320548201
"(1, 2, 0)","(2, 2, 0, 36)",1153.0979788705488
"(0, 1, 2)","(2, 2, 0, 36)",1153.2376819976676
"(2, 2, 0)","(1, 2, 1, 36)",1153.6577768072812
"(2, 2, 0)","(1, 2, 0, 36)",1153.981372298699
"(2, 2, 1)","(1, 2, 0, 36)",1154.0561411711851
"(2, 2, 0)","(1, 2, 2, 36)",1154.2996431793795
"(0, 2, 1)","(0, 2, 2, 36)",1154.5151783848414
"(2, 2, 1)","(2, 2, 2, 36)",1154.5893985495215
"(1, 1, 2)","(2, 2, 0, 36)",1154.591683085008
"(0, 2, 2)","(0, 2, 1, 36)",1154.8138402905513
"(1, 1, 0)","(2, 2, 0, 36)",1155.0427471284772
"(2, 2, 0)","(2, 2, 2, 36)",1155.061817756124
"(0, 1, 0)","(2, 2, 1, 36)",1155.1331998608443
"(0, 1, 2)","(2, 2, 1, 36)",1155.2374835772885
"(1, 2, 1)","(0, 2, 2, 36)",1155.5641776196376
"(0, 1, 0)","(1, 2, 2, 36)",1155.6903891841873
"(0, 1, 2)","(1, 2, 1, 36)",1156.0737089849301
"(1, 2, 0)","(1, 2, 1, 36)",1156.2272072844776
