,pdq,aic,r2
5,"(0, 1, 0)",2236.549448989354,0.853859536102871
15,"(1, 0, 0)",2262.3065701773153,0.8040966687558773
16,"(1, 0, 1)",2204.4214338878296,0.6807326980056199
17,"(1, 0, 2)",2174.101770204281,0.6719432106924235
18,"(1, 0, 3)",2177.506364258586,0.6107057232152455
19,"(1, 0, 4)",2183.217698765595,0.5966453902850634
20,"(1, 0, 5)",2158.3215017393545,0.5790408676425634
21,"(1, 0, 6)",2188.8811816659677,0.5606871438554735
22,"(1, 0, 7)",2158.642624715888,0.5590124682793043
24,"(1, 0, 9)",2176.795040301653,0.5551495759858116
23,"(1, 0, 8)",2177.305040259509,0.5418343834755102
36,"(2, 0, 5)",2157.57414080334,0.5293994696672519
140,"(8, 0, 6)",2159.7798029001788,0.5291311125243847
139,"(8, 0, 5)",2159.6542636746976,0.5225376893511176
142,"(8, 0, 8)",2164.336505373578,0.5225032240251052
51,"(3, 0, 4)",2156.651929690353,0.5205489562445791
35,"(2, 0, 4)",2155.116612856065,0.5197620838676578
120,"(7, 0, 5)",2160.84833354541,0.5165827004677965
138,"(8, 0, 4)",2160.344988969928,0.5159149125702793
68,"(4, 0, 2)",2152.337251167313,0.5155772940825745
153,"(9, 0, 0)",2148.7832821998786,0.5155457438836311
159,"(9, 0, 6)",2156.9475500633257,0.5140240386996353
87,"(5, 0, 3)",2154.8253699621514,0.5125862251212085
137,"(8, 0, 3)",2161.6999482179353,0.5111865875313356
157,"(9, 0, 4)",2159.47025558196,0.5109096672704976
89,"(5, 0, 5)",2160.665928869779,0.5092030942598791
101,"(6, 0, 1)",2156.907535799057,0.5080399012335635
102,"(6, 0, 2)",2153.9360330588224,0.5076127872374148
115,"(7, 0, 0)",2154.5900450129984,0.5075244998216799
104,"(6, 0, 4)",2154.9623888049696,0.5069987981994355
106,"(6, 0, 6)",2158.980391217232,0.5064388635157866
70,"(4, 0, 4)",2152.609585066906,0.5061267646519179
118,"(7, 0, 3)",2158.3861581785545,0.5060888907622794
85,"(5, 0, 1)",2154.958064572268,0.5058473629994353
32,"(2, 0, 1)",2149.091128983536,0.5058365516410562
47,"(3, 0, 0)",2149.0849025280095,0.5057759401759516
119,"(7, 0, 4)",2156.1624440208343,0.5055202698582416
48,"(3, 0, 1)",2151.0757910363213,0.5054770684606165
31,"(2, 0, 0)",2147.086259986593,0.5053814250277013
50,"(3, 0, 3)",2154.890275234079,0.5051525241503951
88,"(5, 0, 4)",2156.420801652372,0.5043328551089983
103,"(6, 0, 3)",2156.3729082815,0.5041884198425328
134,"(8, 0, 0)",2152.7714448574607,0.5040228408558323
66,"(4, 0, 0)",2151.0287948415435,0.5021077488011059
84,"(5, 0, 0)",2153.044495862595,0.5021022319908204
67,"(4, 0, 1)",2153.0431663569343,0.5020467737721778
33,"(2, 0, 2)",2151.0845412484214,0.5015658735083093
55,"(3, 0, 8)",2129.8784290169892,0.4998249936542103
69,"(4, 0, 3)",2151.212352449752,0.4997233355182127
108,"(6, 0, 8)",2137.1226505625714,0.4981942102428767
100,"(6, 0, 0)",2154.917451285939,0.4977526655368152
86,"(5, 0, 2)",2151.859593377508,0.49769104234399875
121,"(7, 0, 6)",2161.2354411295373,0.49744887819885575
161,"(9, 0, 8)",2165.565124509611,0.4968930817406474
40,"(2, 0, 9)",2130.169817595667,0.49618448842701246
92,"(5, 0, 8)",2132.71138995025,0.49504191231317984
105,"(6, 0, 5)",2156.711405550027,0.4948527471356817
156,"(9, 0, 3)",2135.5355036971064,0.4923603915829313
39,"(2, 0, 8)",2128.496085914487,0.49170348490845184
56,"(3, 0, 9)",2132.0956002210655,0.48897827277238815
4,"(0, 0, 9)",2202.0298526384136,0.4883680231792241
75,"(4, 0, 9)",2133.773457869206,0.48469780769835413
160,"(9, 0, 7)",2127.9407795738484,0.4846814785965431
116,"(7, 0, 1)",2135.2577550487013,0.4846273705156785
136,"(8, 0, 2)",2138.561630108654,0.4830299512066122
